r4;piO;piP;piR;piF;cV;cS;cT
000,570000000;000,447976198;000,552023802;000,000000000;000,000000000;005,520238025;007,065000000;012,585238025;
000,560000000;000,444732063;000,555267937;000,000000000;000,000000000;005,552679375;007,020000000;012,572679375;
000,550000000;000,445076015;000,554923985;000,000000000;000,000000000;005,549239845;006,975000000;012,524239845;
000,540000000;000,442175172;000,557824828;000,000000000;000,000000000;005,578248284;006,930000000;012,508248284;
000,530000000;000,437885242;000,562114758;000,000000000;000,000000000;005,621147579;006,885000000;012,506147579;
000,520000000;000,437991577;000,562008423;000,000000000;000,000000000;005,620084226;006,840000000;012,460084226;
000,510000000;000,430433841;000,569566159;000,000000000;000,000000000;005,695661595;006,795000000;012,490661595;
000,500000000;000,424369590;000,575630410;000,000000000;000,000000000;005,756304102;006,750000000;012,506304102;
000,490000000;000,424037411;000,575962589;000,000000000;000,000000000;005,759625891;006,705000000;012,464625891;
000,480000000;000,419975014;000,580024986;000,000000000;000,000000000;005,800249860;006,660000000;012,460249860;
000,470000000;000,418472884;000,581527116;000,000000000;000,000000000;005,815271159;006,615000000;012,430271159;
000,460000000;000,414468443;000,585531557;000,000000000;000,000000000;005,855315573;006,570000000;012,425315573;
000,450000000;000,410545052;000,589454948;000,000000000;000,000000000;005,894549480;006,525000000;012,419549480;
000,440000000;000,411648013;000,588351987;000,000000000;000,000000000;005,883519868;006,480000000;012,363519868;
000,430000000;000,409880245;000,590119755;000,000000000;000,000000000;005,901197554;006,435000000;012,336197554;
000,420000000;000,408087611;000,591912389;000,000000000;000,000000000;005,919123888;006,390000000;012,309123888;
000,410000000;000,403501069;000,596498931;000,000000000;000,000000000;005,964989310;006,345000000;012,309989310;
000,400000000;000,401930417;000,598069583;000,000000000;000,000000000;005,980695833;006,300000000;012,280695833;
000,390000000;000,396973877;000,603026123;000,000000000;000,000000000;006,030261228;006,255000000;012,285261228;
000,380000000;000,395680600;000,604319400;000,000000000;000,000000000;006,043193998;006,210000000;012,253193998;
000,370000000;000,394798616;000,605201384;000,000000000;000,000000000;006,052013842;006,165000000;012,217013842;
000,360000000;000,395408716;000,604591284;000,000000000;000,000000000;006,045912845;006,120000000;012,165912845;
000,350000000;000,396564416;000,603435584;000,000000000;000,000000000;006,034355837;006,075000000;012,109355837;
000,340000000;000,396025812;000,603974188;000,000000000;000,000000000;006,039741878;006,030000000;012,069741878;
000,330000000;000,394089803;000,605910197;000,000000000;000,000000000;006,059101972;005,985000000;012,044101972;
000,320000000;000,391443684;000,608556316;000,000000000;000,000000000;006,085563163;005,940000000;012,025563163;
000,310000000;000,388261872;000,611738128;000,000000000;000,000000000;006,117381276;005,895000000;012,012381276;
000,300000000;000,386653253;000,613346747;000,000000000;000,000000000;006,133467474;005,850000000;011,983467474;
000,290000000;000,382112344;000,617887656;000,000000000;000,000000000;006,178876557;005,805000000;011,983876557;
000,280000000;000,380118867;000,619881133;000,000000000;000,000000000;006,198811328;005,760000000;011,958811328;
000,270000000;000,378377832;000,621622168;000,000000000;000,000000000;006,216221676;005,715000000;011,931221676;
000,260000000;000,376740631;000,623259369;000,000000000;000,000000000;006,232593695;005,670000000;011,902593695;
000,250000000;000,374980247;000,625019753;000,000000000;000,000000000;006,250197527;005,625000000;011,875197527;
000,240000000;000,373446239;000,626553761;000,000000000;000,000000000;006,265537610;005,580000000;011,845537610;
000,230000000;000,371135922;000,628864078;000,000000000;000,000000000;006,288640779;005,535000000;011,823640779;
000,220000000;000,369113218;000,630886782;000,000000000;000,000000000;006,308867819;005,490000000;011,798867819;
000,210000000;000,366896448;000,633103552;000,000000000;000,000000000;006,331035524;005,445000000;011,776035524;
000,200000000;000,365006458;000,634993542;000,000000000;000,000000000;006,349935425;005,400000000;011,749935425;
000,190000000;000,363059288;000,636940712;000,000000000;000,000000000;006,369407117;005,355000000;011,724407117;
000,180000000;000,360742932;000,639257068;000,000000000;000,000000000;006,392570684;005,310000000;011,702570684;
000,170000000;000,358650829;000,641349171;000,000000000;000,000000000;006,413491712;005,265000000;011,678491712;
000,160000000;000,356758399;000,643241601;000,000000000;000,000000000;006,432416014;005,220000000;011,652416014;
000,150000000;000,354628657;000,645371343;000,000000000;000,000000000;006,453713431;005,175000000;011,628713431;
000,140000000;000,352298279;000,647701721;000,000000000;000,000000000;006,477017212;005,130000000;011,607017212;
000,130000000;000,349978170;000,650021830;000,000000000;000,000000000;006,500218298;005,085000000;011,585218298;
000,120000000;000,347549445;000,652450555;000,000000000;000,000000000;006,524505554;005,040000000;011,564505554;
000,110000000;000,345020573;000,654979427;000,000000000;000,000000000;006,549794272;004,995000000;011,544794272;
000,100000000;000,342611425;000,657388575;000,000000000;000,000000000;006,573885751;004,950000000;011,523885751;
000,090000000;000,340132514;000,659867486;000,000000000;000,000000000;006,598674856;004,905000000;011,503674856;
000,080000000;000,337585360;000,662414640;000,000000000;000,000000000;006,624146399;004,860000000;011,484146399;
000,070000000;000,334999383;000,665000617;000,000000000;000,000000000;006,650006168;004,815000000;011,465006168;
000,060000000;000,332233441;000,667766559;000,000000000;000,000000000;006,677665589;004,770000000;011,447665589;
000,050000000;000,329557510;000,670442490;000,000000000;000,000000000;006,704424902;004,725000000;011,429424902;
000,040000000;000,326717645;000,673282355;000,000000000;000,000000000;006,732823548;004,680000000;011,412823548;
000,030000000;000,323787604;000,676212396;000,000000000;000,000000000;006,762123960;004,635000000;011,397123960;
000,020000000;000,320772267;000,679227733;000,000000000;000,000000000;006,792277326;004,590000000;011,382277326;
000,010000000;000,317698131;000,682301869;000,000000000;000,000000000;006,823018693;004,545000000;011,368018693;
r4;piO;piP;piR;piF;cV;cS;cT
001,000000000;000,446263541;000,553736459;000,000000000;000,000000000;005,537364587;009,000000000;014,537364587;
r4;piO;piP;piR;piF;cV;cS;cT
r4;piO;piP;piR;piF;cV;cS;cT
r4;piO;piP;piR;piF;cV;cS;cT
r4;piO;piP;piR;piF;cV;cS;cT
